cpu_processing,mem_processing,RESIDUE,            TPR,CLASS
0.879,0.869,-0.01,244,1
0.902,0.867,-0.035,251,1
0.865,0.868,0.003,259,1
0.889,0.871,-0.018,258,1
0.824,0.876,0.052,264,1
0.869,0.884,0.015,235,1
0.904,0.878,-0.026,254,1
0.875,0.862,-0.013,254,1
0.928,0.86,-0.068,261,1
0.854,0.859,0.005,235,1
0.865,0.859,-0.006,232,1
0.798,0.852,0.054,248,1
0.853,0.846,-0.007,249,1
0.895,0.844,-0.051,258,1
0.882,0.843,-0.039,246,1
0.865,0.844,-0.021,258,1
0.915,0.842,-0.073,263,1
0.924,0.842,-0.082,256,1
0.862,0.845,-0.017,261,1
0.821,0.847,0.026,257,1
0.798,0.845,0.047,268,1
0.851,0.845,-0.006,249,1
0.956,0.847,-0.109,238,1
0.784,0.847,0.063,252,1
0.842,0.847,0.005,248,1
0.895,0.847,-0.048,267,1
0.924,0.844,-0.08,254,1
0.865,0.716,-0.149,253,1
0.853,0.717,-0.136,251,1
0.865,0.718,-0.147,249,1
0.921,0.72,-0.201,261,1
0.865,0.72,-0.145,262,1
0.834,0.72,-0.114,235,1
0.846,0.72,-0.126,210,1
0.798,0.72,-0.078,248,1
0.901,0.718,-0.183,255,1
0.89,0.718,-0.172,256,1
0.864,0.718,-0.146,256,1
0.823,0.718,-0.105,256,1
0.892,0.716,-0.176,256,1
0.924,0.715,-0.209,256,1
0.857,0.716,-0.141,256,1
0.865,0.716,-0.149,256,1
0.962,0.715,-0.247,258,1
0.845,0.716,-0.129,259,1
0.864,0.717,-0.147,259,1
0.789,0.717,-0.072,259,1
0.858,0.716,-0.142,259,1
0.896,0.715,-0.181,259,1
0.912,0.714,-0.198,259,1
0.856,0.714,-0.142,256,1
0.845,0.713,-0.132,255,1
0.882,0.713,-0.169,255,1
0.879,0.713,-0.166,255,1
0.902,0.713,-0.189,255,1
0.79,0.713,-0.077,255,1
0.748,0.712,-0.036,255,1
0.676,0.712,0.036,255,1
0.762,0.712,-0.05,255,1
